iter	Passed	Remaining
889	60892	7526
890	60981	7460
891	61043	7390
892	61106	7321
893	61166	7252
894	61214	7181
895	61280	7112
896	61343	7043
897	61393	6973
898	61465	6905
899	61517	6835
900	61574	6765
901	61625	6695
902	61695	6627
903	61772	6559
904	61837	6491
905	61909	6423
906	61989	6356
907	62067	6288
908	62158	6222
909	62257	6157
910	62354	6091
911	62423	6023
912	62509	5956
913	62583	5888
914	62653	5820
915	62725	5752
916	62796	5683
917	62866	5615
918	62950	5548
919	63020	5480
920	63099	5412
921	63173	5344
922	63263	5277
923	63332	5209
924	63402	5140
925	63491	5073
926	63562	5005
927	63641	4937
928	63711	4869
929	63785	4801
930	63851	4732
931	63925	4664
932	64018	4597
933	64083	4528
934	64153	4459
935	64240	4392
936	64315	4324
937	64385	4255
938	64490	4189
939	64601	4123
940	64713	4057
941	64836	3992
942	64906	3923
943	65000	3855
944	65066	3786
945	65142	3718
946	65207	3649
947	65266	3580
948	65344	3511
949	65456	3445
950	65541	3377
951	65604	3307
952	65667	3238
953	65743	3170
954	65820	3101
955	65892	3032
956	65983	2964
957	66038	2895
958	66094	2825
959	66159	2756
960	66217	2687
961	66282	2618
962	66339	2548
963	66401	2479
964	66479	2411
965	66539	2341
966	66592	2272
967	66656	2203
968	66734	2134
969	66837	2067
970	66928	1998
971	67009	1930
972	67080	1861
973	67150	1792
974	67228	1723
975	67307	1655
976	67384	1586
977	67469	1517
978	67538	1448
979	67615	1379
980	67677	1310
981	67766	1242
982	67828	1173
983	67902	1104
984	67964	1034
985	68024	965
986	68090	896
987	68148	827
988	68212	758
989	68271	689
990	68331	620
991	68396	551
992	68463	482
993	68523	413
994	68591	344
995	68642	275
996	68703	206
997	68761	137
998	68830	68
999	68890	0
